department,grade,category,category_kor,expected_count,actual_count,missing_count,extra_count,missing_codes,extra_codes,status,api_status,http_code
기독교학과,3,MAJOR_ELECTIVE,전선,24,24,0,0,,,PASS,OK,200
기독교학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기독교학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
기독교학과,4,MAJOR_ELECTIVE,전선,26,26,0,0,,,PASS,OK,200
기독교학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기독교학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
기독교학과,5,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
독어독문학과,1,MAJOR_REQUIRED,전필,2,2,0,0,,,PASS,OK,200
독어독문학과,1,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
독어독문학과,1,MAJOR_ELECTIVE,전선,2,2,0,0,,,PASS,OK,200
독어독문학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
독어독문학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
독어독문학과,2,MAJOR_ELECTIVE,전선,10,10,0,0,,,PASS,OK,200
독어독문학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
독어독문학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
독어독문학과,3,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
독어독문학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
독어독문학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
독어독문학과,4,MAJOR_ELECTIVE,전선,17,17,0,0,,,PASS,OK,200
독어독문학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
독어독문학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
독어독문학과,5,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
물리학과,1,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
물리학과,1,MAJOR_BASIC,전기,10,10,0,0,,,PASS,OK,200
물리학과,1,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
물리학과,2,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
물리학과,2,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
물리학과,2,MAJOR_ELECTIVE,전선,13,13,0,0,,,PASS,OK,200
물리학과,3,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
물리학과,3,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
물리학과,3,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
물리학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
물리학과,4,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
물리학과,4,MAJOR_ELECTIVE,전선,23,23,0,0,,,PASS,OK,200
물리학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
물리학과,5,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
물리학과,5,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
법학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
