issue,track_type,completion_type,course_code,course_name,major_department,detail
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150202606,조직행동론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150202607,조직행동론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150230706,회계원리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150287004,관리경제,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150287005,관리경제,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150338205,마케팅,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150567307,경영학의이해,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150567308,경영학의이해,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150568108,경영수리와통계,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150568109,경영수리와통계,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150811406,오퍼레이션매니지먼트,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150811407,오퍼레이션매니지먼트,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,5010247405,비즈니스커뮤니케이션,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,5010247406,비즈니스커뮤니케이션,경영학부,student_type=GENERAL target 없음
NO_SCOPE_MATCH_ALLOW,DOUBLE_MAJOR,REQUIRED,2150642001,회계원리,회계학과,해당 학과/단과대/전체 범위에 맞는 GENERAL 허용 target 없음
NO_SCOPE_MATCH_ALLOW,DOUBLE_MAJOR,REQUIRED,2150642002,회계원리,회계학과,해당 학과/단과대/전체 범위에 맞는 GENERAL 허용 target 없음
NO_SCOPE_MATCH_ALLOW,DOUBLE_MAJOR,REQUIRED,2150642006,회계원리,회계학과,해당 학과/단과대/전체 범위에 맞는 GENERAL 허용 target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150317005,국제상무론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150317006,국제상무론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150317007,국제상무론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150360904,국제통상법,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150360905,국제통상법,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150525802,매스미디어의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150525803,매스미디어의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150542302,구비문학의이해,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150097404,비즈니스협상,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150107606,경영정보시스템,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150107607,경영정보시스템,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150188709,인적자원관리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150188710,인적자원관리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150191206,재무관리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150191207,재무관리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150202606,조직행동론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150202607,조직행동론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150230706,회계원리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150238403,금융시장론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150287004,관리경제,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150287005,관리경제,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150338205,마케팅,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150340203,조직개발론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150364604,글로벌전략경영,경영학부,student_type=GENERAL target 없음
