code,name,category,department,target_text,student_type,grade1,grade2,grade3,grade4,grade5,is_strict
2150664001,South-North Korean Relations in Historic,GENERAL_ELECTIVE,교양교육운영팀,전체학년 교환학생(대상외수강제한),1,1,1,1,1,1,1
2150664101,"Understanding of Korea, China&Japan",GENERAL_ELECTIVE,교양교육운영팀,전체학년 교환학생(대상외수강제한),1,1,1,1,1,1,1
2150664201,합창과공동체인성,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150664202,합창과공동체인성,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150664203,합창과공동체인성,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150664204,합창과공동체인성,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150670501,국가와법,GENERAL_ELECTIVE,법학과,전체,0,1,1,1,1,1,0
2150670502,국가와법,GENERAL_ELECTIVE,법학과,전체,0,1,1,1,1,1,0
2150684401,학교폭력예방및학생의이해,TEACHING,학사팀,"3학년 전체;교직이수자
4학년 전체;교직이수자",3,0,0,1,0,0,0
2150684401,학교폭력예방및학생의이해,TEACHING,학사팀,"3학년 전체;교직이수자
4학년 전체;교직이수자",3,0,0,0,1,0,0
2150688401,양자나노소재프로그래밍,OTHER,물리학과,전체,0,1,1,1,1,1,0
2150695101,Writing and speaking English I,GENERAL_ELECTIVE,벤처경영학과(계약학과),전체,0,1,1,1,1,1,0
2150869201,대학물리,GENERAL_ELECTIVE,물리학과,전체학년 전체(물리학과 제외),0,1,1,1,1,1,0
2150869301,대학화학,GENERAL_ELECTIVE,화학과,전체(화학과 제외),0,1,1,1,1,1,0
2150900001,교원양성특강1,TEACHING,학사팀,전체(순수외국인입학생 제한),0,1,1,1,1,1,0
2150915001,Soongsil Honor Code,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150915002,Soongsil Honor Code,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
2150915501,영화 Shot by Shot,GENERAL_ELECTIVE,예술창작학부 영화예술전공,전체,0,1,1,1,1,1,0
2150915502,영화 Shot by Shot,GENERAL_ELECTIVE,예술창작학부 영화예술전공,전체,0,1,1,1,1,1,0
2160598401,논문연구 I,OTHER,정보과학대학원,전체,0,1,1,1,1,1,0
2160770901,기업과회계,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5008818701,조직행동론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5008818702,조직행동론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5010542201,창의성과문제해결,GENERAL_ELECTIVE,평생교육학과,전체,0,1,1,1,1,1,0
5010543101,자기주도적학습,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
5010543102,자기주도적학습,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
5010588001,Practical English Listening & Reading,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체(영어영문학과제외),0,1,1,1,1,1,0
5010588002,Practical English Listening & Reading,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체(영어영문학과제외),0,1,1,1,1,1,0
5010600301,마케팅관리,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5011868701,교육과정,TEACHING,학사팀,순수외국인입학생 제한,0,1,1,1,1,1,0
5012325201,특수교육학개론,TEACHING,학사팀,"3학년 전체;교직이수자
4학년 전체;교직이수자",3,0,0,1,0,0,0
5012325201,특수교육학개론,TEACHING,학사팀,"3학년 전체;교직이수자
4학년 전체;교직이수자",3,0,0,0,1,0,0
5022202901,교육평가,TEACHING,학사팀,순수외국인입학생 제한,0,1,1,1,1,1,0
5022706701,교직실무,TEACHING,학사팀,"3학년 전체;교직이수자
4학년 전체;교직이수자",3,0,0,1,0,0,0
5022706701,교직실무,TEACHING,학사팀,"3학년 전체;교직이수자
4학년 전체;교직이수자",3,0,0,0,1,0,0
5027248601,정보보안,OTHER,정보과학대학원,전체,0,1,1,1,1,1,0
5027588101,대학기초영어,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
5027588102,대학기초영어,GENERAL_ELECTIVE,교양교육운영팀,전체학년 ;순수외국인입학생 (대상외수강제한),1,1,1,1,1,1,1
5027588103,대학기초영어,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
5027588104,대학기초영어,GENERAL_ELECTIVE,교양교육운영팀,전체학년 전체,0,1,1,1,1,1,0
5030188401,마케팅원론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5039058001,한국문화의이해Ⅱ,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5040684501,경영학의 기초,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5042252901,금융빅데이터연구,OTHER,금융기술융합학과,전체,0,1,1,1,1,1,0
5042258201,블록체인방법론,OTHER,금융기술융합학과,전체,0,1,1,1,1,1,0
5043944101,운영관리원론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5043944301,경영정보시스템원론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5043944501,조직행동원론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5044155601,경영학의 이해,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5044723001,데이터전략경영,OTHER,데이터전략경영학과,전체,0,1,1,1,1,1,0
